"date","treatment","row","tissue","A","GS","E","DOY","osm","po","popd","posm"
2019-05-20,"liz","0","s",9.40098338,0.080409133,3.125842739,"140",284,-0.46,-0.087,0.71
2019-05-20,"liz","0","s",5.489696706,0.065259183,2.883986053,"140",316,-0.33,-0.05,0.79
2019-05-20,"liz","0","s",9.39784925,0.074855844,3.126478371,"140",299,-0.4,-0.07,0.7475
2019-05-20,"liz","0","s",9.188788502,0.076199535,3.135217123,"140",338.5,-0.4,-0.088,0.84625
2019-05-20,"liz","0","s",9.137130427,0.072582845,2.856044479,"140",283.5,-0.34,-0.088,0.70875
2019-05-20,"liz","0","s",9.239750274,0.070852292,2.861687055,"140",315,-0.46,-0.096,0.7875
2019-06-03,"A","1","s",15.84319348,0.43359181,10.9280635,"154",429.5,-0.53,NA,1.07375
2019-06-03,"A","1","s",16.3619065,0.415364696,10.63436326,"154",393,-0.55,NA,0.9825
2019-06-03,"A","1","s",11.34332036,0.136830222,5.600270778,"154",449,-0.48,NA,1.1225
2019-06-03,"A","2","s",14.25557048,0.247345971,9.264015784,"154",369,-0.64,NA,0.9225
2019-06-03,"A","2","s",12.98285538,0.165870294,7.002533337,"154",410,-0.68,NA,1.025
2019-06-03,"A","2","s",12.46815837,0.184026317,7.645127999,"154",447,-0.66,NA,1.1175
2019-06-03,"A","4","s",16.05316968,0.358889456,10.26513649,"154",412.5,-0.58,NA,1.03125
2019-06-03,"A","4","s",12.85932772,0.191467947,7.186347548,"154",333,-0.59,NA,0.8325
2019-06-03,"A","4","s",12.59315542,0.169657835,6.72086731,"154",450.5,-0.55,NA,1.12625
2019-06-03,"E","1","s",11.51847137,0.169158994,7.090998685,"154",446.5,-0.76,NA,1.11625
2019-06-03,"E","1","s",10.949159,0.148743109,6.411209998,"154",430.5,-0.78,NA,1.07625
2019-06-03,"E","1","s",12.06941014,0.169452803,6.823784174,"154",466.5,-0.84,NA,1.16625
2019-06-03,"E","2","s",12.76241654,0.178538607,7.778151481,"154",461,-0.64,NA,1.1525
2019-06-03,"E","2","s",13.3160885,0.162080991,7.237840789,"154",414.5,-0.66,NA,1.03625
2019-06-03,"E","2","s",15.0065701,0.241753906,8.99628479,"154",398.5,-0.67,NA,0.99625
2019-06-03,"E","4","s",9.794064743,0.082222226,3.717547916,"154",369.5,-0.74,NA,0.92375
2019-06-03,"E","4","s",15.01614176,0.288311579,8.757399695,"154",394,-0.75,NA,0.985
2019-06-03,"E","4","s",13.14037039,0.191116399,6.696201701,"154",494.5,-0.76,NA,1.23625
2019-06-03,"liz","0","s",15.06749545,0.337433579,7.776499176,"154",400.5,-0.43,NA,1.00125
2019-06-03,"liz","0","s",16.99626867,0.426779499,8.866499036,"154",399.5,-0.39,NA,0.99875
2019-06-03,"liz","0","s",16.21066313,0.422846617,9.029650147,"154",371,-0.45,NA,0.9275
2019-06-03,"liz","0","s",15.8924441,0.367719464,8.777559209,"154",375,-0.38,NA,0.9375
2019-06-03,"liz","0","s",16.80203429,0.439426979,9.546690347,"154",434,-0.45,NA,1.085
2019-06-03,"liz","0","s",16.19417098,0.34123323,8.766014731,"154",374.5,-0.42,NA,0.93625
2019-06-17,"A","1","s",15.6075956,0.280879859,8.002695657,"168",444,-0.56,NA,1.11
2019-06-17,"A","1","s",15.60882011,0.325189368,7.78690085,"168",470.5,-0.55,NA,1.17625
2019-06-17,"A","1","s",15.71213423,0.349315172,6.975223196,"168",479,-0.5,NA,1.1975
2019-06-17,"A","2","s",14.52844011,0.237295811,6.060631432,"168",501.5,-0.57,NA,1.25375
2019-06-17,"A","2","s",14.2527636,0.189174071,5.266448092,"168",498,-0.63,NA,1.245
2019-06-17,"A","2","s",15.75955723,0.241815397,6.091020699,"168",569.5,-0.65,NA,1.42375
2019-06-17,"A","4","s",15.57670377,0.372108407,7.956371489,"168",512,-0.55,NA,1.28
2019-06-17,"A","4","s",15.52592303,0.372093108,7.562866403,"168",614,-0.63,NA,1.535
2019-06-17,"A","4","s",14.63331128,0.260873975,6.260390216,"168",505,-0.51,NA,1.2625
2019-06-17,"E","1","s",13.75635643,0.143668662,5.138375034,"168",493,-0.69,NA,1.2325
2019-06-17,"E","1","s",12.39219738,0.107797871,3.639817025,"168",468.5,-0.74,NA,1.17125
2019-06-17,"E","1","s",14.03909663,0.163578837,4.428915403,"168",501.5,-0.66,NA,1.25375
2019-06-17,"E","2","s",15.48359201,0.198971824,5.343413684,"168",502,-0.57,NA,1.255
2019-06-17,"E","2","s",14.20736106,0.184060128,5.136351179,"168",479.5,-0.59,NA,1.19875
2019-06-17,"E","2","s",15.63732679,0.270658016,6.714041271,"168",502.5,-0.62,NA,1.25625
2019-06-17,"E","4","s",13.5978764,0.199130246,5.220526466,"168",457,-0.65,NA,1.1425
2019-06-17,"E","4","s",14.79470258,0.272752121,6.544641518,"168",534,-0.63,NA,1.335
2019-06-17,"E","4","s",13.95712663,0.250847505,6.2423113,"168",537,-0.7,NA,1.3425
2019-06-17,"liz","0","s",16.46775537,0.358822284,7.82,"168",444.5,-0.48,NA,1.11125
2019-06-17,"liz","0","s",15.70339749,0.355171638,7.97418236,"168",420.5,-0.45,NA,1.05125
2019-06-17,"liz","0","s",16.53346466,0.355292369,7.841309023,"168",409.5,-0.46,NA,1.02375
2019-06-17,"liz","0","s",16.54747404,0.373102707,7.659146437,"168",492.5,-0.47,NA,1.23125
2019-06-17,"liz","0","s",16.41588723,0.38101826,7.622321785,"168",427,-0.42,NA,1.0675
2019-06-17,"liz","0","s",12.82986123,0.319828224,6.768241884,"168",391,-0.45,NA,0.9775
2019-07-01,"A","1","s",13.38177797,0.268869205,6.378338377,"182",463,-0.77,-0.14,1.1575
2019-07-01,"A","1","s",15.09937883,0.359224774,7.019858093,"182",469.5,-0.84,-0.11,1.17375
2019-07-01,"A","1","s",12.27228912,0.249498106,5.487840683,"182",544,-0.97,-0.11,1.36
2019-07-01,"A","4","s",14.16089095,0.341355391,6.691895454,"182",403,-0.73,-0.08,1.0075
2019-07-01,"A","4","s",13.03068464,0.23424062,6.303043243,"182",492,-0.8,-0.07,1.23
2019-07-01,"E","1","s",11.91532989,0.167202985,4.98552494,"182",624,-0.85,-0.15,1.56
2019-07-01,"E","1","s",12.31891179,0.168909149,4.680263949,"182",543.5,-0.91,-0.13,1.35875
2019-07-01,"E","1","s",10.25062919,0.121300357,3.572213841,"182",623.5,-0.92,-0.14,1.55875
2019-07-01,"E","2","s",NA,NA,NA,"182",586.5,-0.77,-0.24,1.46625
2019-07-01,"E","2","s",NA,NA,NA,"182",486,-0.76,-0.2,1.215
2019-07-01,"E","2","s",NA,NA,NA,"182",458.5,-0.71,-0.23,1.14625
2019-07-01,"E","4","s",NA,NA,NA,"182",463,-0.78,-0.12,1.1575
2019-07-01,"E","4","s",14.3410468,0.260859221,6.410209155,"182",524,-0.74,-0.11,1.31
2019-07-01,"E","4","s",13.12578653,0.259171646,5.863728729,"182",525.5,-0.79,-0.13,1.31375
2019-07-01,"liz","0","s",14.43205507,0.397587155,6.472907846,"182",401.5,-0.42,-0.07,1.00375
2019-07-01,"liz","0","s",15.25312138,0.489855213,6.504712375,"182",480.5,-0.51,-0.08,1.20125
2019-07-01,"liz","0","s",14.09902818,0.378149931,5.449033057,"182",402.5,-0.4,-0.09,1.00625
2019-07-01,"liz","0","s",13.93787203,0.400690887,5.603667343,"182",359.5,-0.43,-0.1,0.89875
2019-07-01,"liz","0","s",15.81324387,0.483221924,6.181776668,"182",442,-0.46,-0.11,1.105
2019-07-01,"liz","0","s",14.31713439,0.382151978,5.541231279,"182",488.5,-0.48,-0.1,1.22125
2019-07-15,"A","1","s",9.915299927,0.199554781,3.543548162,"196",462,-0.61,NA,1.155
2019-07-15,"A","1","s",10.07120637,0.16519815,2.723620858,"196",430.5,-0.73,NA,1.07625
2019-07-15,"A","1","s",9.066849056,0.164308798,2.070556037,"196",443,-0.66,NA,1.1075
2019-07-15,"A","2","s",11.82444509,0.115171725,2.686254406,"196",679.5,-0.82,NA,1.69875
2019-07-15,"A","2","s",9.351449044,0.07620126,3.933245292,"196",542,-0.94,NA,1.355
2019-07-15,"A","2","s",11.67308427,0.103515124,4.420091729,"196",544,-0.92,NA,1.36
2019-07-15,"A","4","s",13.27276781,0.157464979,4.500238709,"196",484,-0.72,NA,1.21
2019-07-15,"A","4","s",11.65206269,0.108420788,4.813827298,"196",623.5,-0.73,NA,1.55875
2019-07-15,"A","4","s",14.83310382,0.147744404,3.602453823,"196",619.5,-0.75,NA,1.54875
2019-07-15,"E","1","s",8.313331308,0.120083285,5.495271456,"196",598,-1.03,NA,1.495
2019-07-15,"E","1","s",7.015795792,0.089206677,4.728382862,"196",612,-1.01,NA,1.53
2019-07-15,"E","1","s",4.96980772,0.066427421,4.703773144,"196",666.5,-0.96,NA,1.66625
2019-07-15,"E","2","s",10.0472781,0.091905345,4.389562871,"196",666.5,-0.85,NA,1.66625
2019-07-15,"E","2","s",12.54580117,0.142885716,5.006302284,"196",568,-0.86,NA,1.42
2019-07-15,"E","2","s",12.94593439,0.122267288,3.373644299,"196",610.5,-0.97,NA,1.52625
2019-07-15,"E","4","s",12.89950846,0.126221714,3.412389968,"196",546.5,-0.83,NA,1.36625
2019-07-15,"E","4","s",8.316553977,0.10001554,3.925401822,"196",602,-0.88,NA,1.505
2019-07-15,"E","4","s",12.49464742,0.121903439,3.980721163,"196",567,-0.88,NA,1.4175
2019-07-15,"liz","0","s",14.78300108,0.281749865,5.436831177,"196",455.5,-0.31,NA,1.13875
2019-07-15,"liz","0","s",13.84264489,0.30002714,5.816370174,"196",484,-0.34,NA,1.21
2019-07-15,"liz","0","s",12.87791418,0.252484565,5.532399153,"196",436.5,-0.34,NA,1.09125
2019-07-15,"liz","0","s",12.90648603,0.255338684,5.585290316,"196",471.5,-0.28,NA,1.17875
2019-07-15,"liz","0","s",12.40514912,0.269932547,6.084006418,"196",384.5,-0.31,NA,0.96125
2019-07-15,"liz","0","s",11.68180668,0.275724299,6.241886033,"196",417.5,-0.3,NA,1.04375
2019-07-29,"A","1","b",10.39220097,0.118434475,NA,"210",562.5,-0.88,NA,1.40625
2019-07-29,"A","1","b",12.73794137,0.153201266,NA,"210",495.5,-0.9,NA,1.23875
2019-07-29,"A","1","b",11.50838759,0.140981711,NA,"210",530,-1.04,NA,1.325
2019-07-29,"A","2","b",7.741500301,0.059378715,NA,"210",534.5,-1.29,NA,1.33625
2019-07-29,"A","2","b",3.897878318,0.021222983,NA,"210",653,-1.21,NA,1.6325
2019-07-29,"A","2","b",7.168834211,0.071993767,NA,"210",746.5,-1.46,NA,1.86625
2019-07-29,"A","3","b",10.31987941,0.106919095,NA,"210",491,-1.18,NA,1.2275
2019-07-29,"A","3","b",9.98835367,0.11602785,NA,"210",520.5,-1.03,NA,1.30125
2019-07-29,"A","3","b",11.15273404,0.12283847,NA,"210",519,-1.14,NA,1.2975
2019-07-29,"A","4","b",12.58927207,0.151925446,NA,"210",652,-1.18,NA,1.63
2019-07-29,"A","4","b",10.04927265,0.122429667,NA,"210",557,-1.06,NA,1.3925
2019-07-29,"A","4","b",12.74681867,0.142393619,NA,"210",513,-1.22,NA,1.2825
2019-07-29,"E","1","b",7.81237714,0.086952987,NA,"210",583.5,-1.09,NA,1.45875
2019-07-29,"E","1","b",9.554520012,0.099000999,NA,"210",555,-1.47,NA,1.3875
2019-07-29,"E","1","b",8.247816306,0.072337745,NA,"210",716.5,-1.16,NA,1.79125
2019-07-29,"E","2","b",7.920745783,0.092496485,NA,"210",669,-0.93,NA,1.6725
2019-07-29,"E","2","b",10.16249733,0.114845227,NA,"210",731,-1.29,NA,1.8275
2019-07-29,"E","2","b",11.39967714,0.173510346,NA,"210",537.5,-1.09,NA,1.34375
2019-07-29,"E","4","b",11.19441909,0.140776681,NA,"210",638,-1.12,NA,1.595
2019-07-29,"E","4","b",10.73963487,0.111926498,NA,"210",538.5,-1.25,NA,1.34625
2019-07-29,"E","4","b",8.827546608,0.104425283,NA,"210",603.5,-1.04,NA,1.50875
2019-07-29,"liz","0","b",18.13350996,0.302680024,NA,"210",368.5,-0.48,NA,0.92125
2019-07-29,"liz","0","b",20.30351923,0.31655058,NA,"210",407,-0.43,NA,1.0175
2019-07-29,"liz","0","b",15.03434112,0.25561864,NA,"210",479.5,-0.36,NA,1.19875
2019-07-29,"liz","0","b",17.46771862,0.318342741,NA,"210",387.5,-0.34,NA,0.96875
2019-07-29,"liz","0","b",19.46015264,0.263547608,NA,"210",407,-0.42,NA,1.0175
2019-07-29,"liz","0","b",13.73295113,0.217291755,NA,"210",452,-0.4,NA,1.13
2019-08-05,"A","1","s",NA,NA,NA,"217",562.5,-0.83,NA,1.40625
2019-08-05,"A","1","s",NA,NA,NA,"217",495.5,-0.84,NA,1.23875
2019-08-05,"A","1","s",NA,NA,NA,"217",530,-0.95,NA,1.325
2019-08-05,"A","2","s",NA,NA,NA,"217",534.5,-0.86,NA,1.33625
2019-08-05,"A","2","s",NA,NA,NA,"217",653,-1.12,NA,1.6325
2019-08-05,"A","2","s",NA,NA,NA,"217",746.5,-0.95,NA,1.86625
2019-08-05,"A","3","s",NA,NA,NA,"217",491,-0.97,NA,1.2275
2019-08-05,"A","3","s",NA,NA,NA,"217",520.5,-0.89,NA,1.30125
2019-08-05,"A","3","s",NA,NA,NA,"217",519,-0.88,NA,1.2975
2019-08-05,"A","4","s",NA,NA,NA,"217",652,-0.88,NA,1.63
2019-08-05,"A","4","s",NA,NA,NA,"217",557,-0.85,NA,1.3925
2019-08-05,"A","4","s",NA,NA,NA,"217",513,-0.83,NA,1.2825
2019-08-05,"E","1","s",NA,NA,NA,"217",583.5,-1.04,NA,1.45875
2019-08-05,"E","1","s",NA,NA,NA,"217",555,-1.2,NA,1.3875
2019-08-05,"E","1","s",NA,NA,NA,"217",716.5,-1.19,NA,1.79125
2019-08-05,"E","2","s",NA,NA,NA,"217",669,-0.83,NA,1.6725
2019-08-05,"E","2","s",NA,NA,NA,"217",731,-0.9,NA,1.8275
2019-08-05,"E","2","s",NA,NA,NA,"217",537.5,-1.08,NA,1.34375
2019-08-05,"E","4","s",NA,NA,NA,"217",638,-1.04,NA,1.595
2019-08-05,"E","4","s",NA,NA,NA,"217",538.5,-0.95,NA,1.34625
2019-08-05,"E","4","s",NA,NA,NA,"217",603.5,-1.09,NA,1.50875
2019-08-05,"liz","0","s",NA,NA,NA,"217",368.5,-0.4,NA,0.92125
2019-08-05,"liz","0","s",NA,NA,NA,"217",407,-0.54,NA,1.0175
2019-08-05,"liz","0","s",NA,NA,NA,"217",479.5,-0.55,NA,1.19875
2019-08-05,"liz","0","s",NA,NA,NA,"217",387.5,-0.34,NA,0.96875
2019-08-05,"liz","0","s",NA,NA,NA,"217",407,-0.39,NA,1.0175
2019-08-05,"liz","0","s",NA,NA,NA,"217",452,-0.43,NA,1.13
2019-08-12,"A","1","b",8.084524346,0.074175735,4.783474265,"224",679,-1.38,-0.4,1.6975
2019-08-12,"A","1","b",12.1010811,0.085170474,7.07159073,"224",643,-1.27,-0.44,1.6075
2019-08-12,"A","1","b",9.147431921,0.140167076,4.177870595,"224",670,-1.16,-0.38,1.675
2019-08-12,"A","2","b",6.562520983,0.069129085,3.227864265,"224",682,-1.38,-0.56,1.705
2019-08-12,"A","2","b",6.334560431,0.058916672,3.360782931,"224",681,-1.21,-0.49,1.7025
2019-08-12,"A","2","b",7.18998309,0.055370601,3.958981331,"224",701.5,-1.24,-0.31,1.75375
2019-08-12,"A","4","b",4.368682905,0.044256073,4.125651548,"224",771,-1.09,-0.5,1.9275
2019-08-12,"A","4","b",8.722151525,0.085748837,4.794350368,"224",702.5,-1.28,-0.46,1.75625
2019-08-12,"A","4","b",8.315792165,0.089074612,4.740904049,"224",655.5,-1.14,-0.36,1.63875
2019-08-12,"E","1","b",4.68315747,0.049700435,2.863567165,"224",703,-1.55,-0.59,1.7575
2019-08-12,"E","1","b",2.38450169,0.026050696,1.674348323,"224",691,-1.3,-0.5,1.7275
2019-08-12,"E","1","b",2.400550926,0.023072805,1.516240359,"224",641,-1.3,-0.52,1.6025
2019-08-12,"E","2","b",5.793573532,0.070500245,4.745659822,"224",797,-1.11,-0.59,1.9925
2019-08-12,"E","2","b",7.015596278,0.078816209,4.332572586,"224",686.5,-1.23,-0.34,1.71625
2019-08-12,"E","2","b",8.348860786,0.086174722,3.831325674,"224",626.5,-1.3,-0.68,1.56625
2019-08-12,"E","4","b",6.489243259,0.074394495,4.118973939,"224",704.5,-1.18,-0.5,1.76125
2019-08-12,"E","4","b",6.257647212,0.070397131,2.285010187,"224",699.5,-1.15,-0.57,1.74875
2019-08-12,"E","4","b",5.993864012,0.056462522,3.113313008,"224",676,-1.3,-0.6,1.69
2019-08-12,"liz","0","b",18.81677734,0.213322939,7.632903778,"224",468.5,-0.69,-0.12,1.17125
2019-08-12,"liz","0","b",15.94554926,0.168349814,6.518869343,"224",465,-0.59,-0.08,1.1625
2019-08-12,"liz","0","b",14.17113234,0.222305835,8.44350638,"224",372,-0.53,-0.13,0.93
2019-08-12,"liz","0","b",14.01021428,0.186961613,7.67344233,"224",381.5,-0.54,-0.1,0.95375
2019-08-12,"liz","0","b",12.82716405,0.202400406,8.52752731,"224",519.5,-0.53,-0.13,1.29875
2019-08-12,"liz","0","b",12.53360232,0.184988616,7.624022253,"224",477.5,-0.54,-0.13,1.19375
2019-09-02,"A","1","s",NA,NA,NA,"245",754,-1.05,NA,1.885
2019-09-02,"A","1","s",NA,NA,NA,"245",674,-1,NA,1.685
2019-09-02,"A","1","s",NA,NA,NA,"245",690,-1.09,NA,1.725
2019-09-02,"A","2","s",NA,NA,NA,"245",781,-1.36,NA,1.9525
2019-09-02,"A","2","s",NA,NA,NA,"245",716,-1.28,NA,1.79
2019-09-02,"A","2","s",NA,NA,NA,"245",677,-1.17,NA,1.6925
2019-09-02,"A","3","s",NA,NA,NA,"245",627,-1.24,NA,1.5675
2019-09-02,"A","3","s",NA,NA,NA,"245",768,-1.01,NA,1.92
2019-09-02,"A","3","s",NA,NA,NA,"245",749,-1.06,NA,1.8725
2019-09-02,"A","4","s",NA,NA,NA,"245",661,-1.05,NA,1.6525
2019-09-02,"A","4","s",NA,NA,NA,"245",668,-0.98,NA,1.67
2019-09-02,"A","4","s",NA,NA,NA,"245",638,-0.92,NA,1.595
2019-09-02,"E","1","s",NA,NA,NA,"245",631,-1.26,NA,1.5775
2019-09-02,"E","1","s",NA,NA,NA,"245",624,-1.43,NA,1.56
2019-09-02,"E","1","s",NA,NA,NA,"245",701,-1.38,NA,1.7525
2019-09-02,"E","2","s",NA,NA,NA,"245",794,-1.02,NA,1.985
2019-09-02,"E","2","s",NA,NA,NA,"245",689,-1.08,NA,1.7225
2019-09-02,"E","2","s",NA,NA,NA,"245",714,-1.12,NA,1.785
2019-09-02,"E","3","s",NA,NA,NA,"245",748,-1.4,NA,1.87
2019-09-02,"E","3","s",NA,NA,NA,"245",659,-1.2,NA,1.6475
2019-09-02,"E","3","s",NA,NA,NA,"245",797,-0.88,NA,1.9925
2019-09-02,"E","4","s",NA,NA,NA,"245",670,-1.25,NA,1.675
2019-09-02,"E","4","s",NA,NA,NA,"245",648,-1.09,NA,1.62
2019-09-02,"E","4","s",NA,NA,NA,"245",646,-1.4,NA,1.615
